0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.7941999822482466
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,1.1249999748542905
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.9751999782025814
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,1.029999976977706
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,1.0899999756366014
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.9252999793179333
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.9764999781735242
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,1.077599975913763
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,1.025899977069348
0,50_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.9707999783009291
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.09289999792352319
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.015699999649077655
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.008299999814480543
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.007199999839067459
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.009399999789893627
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.011599999740719796
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.015199999660253524
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.011499999742954969
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.008299999814480543
1,50_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.010399999767541886
2,50_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.02629999941214919
2,50_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.0040999999083578586
