0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),100,0.3163999929279089
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),200,0.886499980185181
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),300,0.6741999849304556
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),400,0.698699984382838
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),500,0.9848999779857696
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),600,0.6065999864414334
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),700,0.6239999860525132
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),800,0.637799985744059
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),900,0.6537999853864312
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1000,0.7640999829210341
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1100,0.7616999829746782
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1200,0.7214999838732183
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1300,0.7523999831825495
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1400,0.7699999827891588
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1500,0.7749999826774001
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1600,0.7980999821610749
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1700,0.7998999821208418
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1800,0.7782999826036394
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1900,0.7857999824360014
0,100_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),2000,0.7241999838128685
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),100,0.7653999828919769
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),200,0.8710999805293977
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),300,1.4379999678581954
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),400,1.4665999672189356
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),500,3.012999932654202
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),600,3.972299911212176
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),700,5.361899880152196
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),800,5.533999876305461
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),900,7.372199835218489
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1000,6.897599845826626
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1100,6.445699855927378
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1200,7.710699827652425
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1300,6.016099865529686
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1400,5.427499878685921
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1500,8.406499812100083
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1600,7.495199832469225
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1700,6.884299846123904
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1800,5.8711998687684535
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1900,5.721899872105569
1,100_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),2000,5.175299884323031
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),100,0.7146999840252102
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),200,1.1445999744161963
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),300,1.4155999683588742
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),400,2.356199947334826
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),500,3.134899929929525
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),600,2.4716999447531998
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),700,3.0222999324463307
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),800,2.681699940059334
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),900,3.180699928905815
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1000,2.4604999450035394
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1100,2.2903999488055704
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1200,2.4367999455332754
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1300,2.5609999427571895
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1400,2.2359999500215055
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1500,1.9437999565526842
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1600,1.7720999603904783
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1700,2.293099948745221
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1800,1.5509999653324484
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1900,1.4881999667361379
2,150_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),2000,1.322699970435351
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),100,0.9025999798253178
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),200,1.3154999705962838
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),300,2.5447999431192874
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),400,3.421699923519045
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),500,5.279899881985038
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),600,7.688699828144163
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),700,6.952199844606221
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),800,8.108599818758666
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),900,7.705599827766418
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1000,7.332399836108088
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1100,7.303699836749583
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1200,7.428399833962321
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1300,6.7201998497918245
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1400,6.897199845835567
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1500,6.284199859537185
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1600,5.088599886260926
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1700,5.127399885393679
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1800,4.759699893612415
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1900,4.801499892678112
3,150_12_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),2000,5.666299873348326
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),100,0.2075999953597784
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),200,0.3446999922953546
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),300,0.8811999803036451
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),400,0.8785999803617597
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),500,0.8846999802254141
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),600,0.9820999780483544
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),700,0.9298999792151154
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),800,1.0571999763697386
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),900,1.060999976284802
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1000,1.0654999761842192
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1100,0.872099980507046
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1200,0.8449999811127782
4,200_8_0.001_0.001_0.0_0.0_(64; 64)_(64; 64),1300,0.867499980609864
