0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,0.6213999861106276
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,0.446099990028888
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,0.008099999818950892
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,0.005999999865889549
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,0.012299999725073577
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,0.018399999588727952
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,0.010699999760836363
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),800,0.0076999998278915885
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),900,0.012899999711662532
0,50_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),1000,0.011099999751895667
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,0.04169999906793237
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,0.015699999649077655
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,0.008299999814480543
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,0.007199999839067459
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,0.009399999789893627
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,0.011599999740719796
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,0.015199999660253524
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),800,0.011499999742954969
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),900,0.008299999814480543
1,50_4_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),1000,0.010399999767541886
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,1.0263999770581722
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,1.6645999627932906
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,3.181699928883463
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,3.9398999119363727
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,3.7186999168805777
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,3.832399914339185
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,4.044599909596145
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),800,4.290399904102087
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),900,4.949699889365584
2,50_8_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),1000,5.288599881790578
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,0.05679999873042107
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,0.02969999933615327
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,0.011699999738484622
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,0.010099999774247408
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,0.010699999760836363
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,0.007299999836832285
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,0.010999999754130841
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),800,0.007399999834597111
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),900,0.0076999998278915885
3,50_12_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),1000,0.006399999856948852
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,0.5225999883189797
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,0.4603999897092581
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,0.7200999839045107
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,0.9869999779388309
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,0.9567999786138535
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,1.0136999773420394
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,0.8906999800913036
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),800,1.0024999775923789
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),900,0.9886999779008329
4,50_16_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),1000,1.0205999771878123
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,0.1893999957665801
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,0.0921999979391694
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,0.01579999964684248
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,0.00789999982342124
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,0.010199999772012233
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,0.009399999789893627
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,0.008399999812245368
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),800,0.011199999749660492
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),900,0.010499999765306712
5,50_20_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),1000,0.012699999716132879
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),100,1.306199970804155
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),200,2.489599944353104
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),300,1.4696999671496451
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),400,0.9235999793559313
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),500,0.6928999845124781
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),600,0.494899988938123
6,100_1_0.001_0.001_0.0_0.0_(128; 128)_(128; 128),700,0.6980999843962491
