0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.8429999811574816
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,1.2382999723218382
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.9647999784350395
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.8903999800980091
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.9710999782942236
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,1.0042999775521457
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,1.0031999775767326
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,1.028799977004528
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.9870999779365957
0,150_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.9219999793916941
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.048399998918175695
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.24239999458193778
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.11829999735578894
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.274999993853271
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.33059999261051415
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.3632999918796122
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.3729999916628003
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.3193999928608537
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.2625999941304326
1,150_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.26779999401420357
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.012999999709427357
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.012099999729543924
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.014399999678134918
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.00789999982342124
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.010599999763071537
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.005599999874830246
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.011299999747425318
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.008599999807775021
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.008599999807775021
2,150_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.009299999792128802
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.3108999930508435
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.8371999812871218
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,1.5438999654911458
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,1.50709996631369
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,2.9653999337181447
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,3.8865999131277205
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,5.424999878741801
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,5.310399881303311
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,5.445899878274649
3,150_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,5.800899870339781
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.1103999975323677
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.04979999888688326
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.05939999867230654
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.029999999329447746
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.026699999403208493
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.021399999521672725
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.03249999927356839
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.030199999324977397
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.03499999921768904
4,150_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.03089999930933118
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.6677999850735068
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.5380999879725278
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.7912999823130668
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,1.4898999666981398
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,1.639699963349849
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,1.8375999589264393
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,2.6188999414630234
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,3.2972999262996017
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,3.302799926176667
5,150_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,4.031799909882247
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,1.2826999713294207
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.8842999802343547
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.7633999829366803
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.6212999861128629
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.5033999887481332
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.8867999801784754
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.7425999834015965
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.7133999840542674
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.6874999846331775
6,200_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.6541999853774905
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.5485999877378345
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,1.8122999594919385
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,1.8518999586068094
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,2.17869995130226
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,1.834899958986789
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,1.4316999679990112
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,1.3707999693602324
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,1.1714999738149345
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,1.0992999754287303
7,200_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.9711999782919883
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.07309999836608767
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.3601999919489026
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.7064999842084945
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,1.199299973193556
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,1.235999972373247
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.9272999792732298
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,1.3753999692574144
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,1.1609999740496277
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.9914999778382481
8,200_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,1.0530999764613806
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.04649999896064401
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.052099998835474254
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.020599999539554117
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.042499999050050974
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.04079999908804893
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.022099999506026508
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.03249999927356839
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.03449999922886491
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.0274999993853271
9,200_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.024999999441206455
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.058199998699128626
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.1126999974809587
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.07149999840185046
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.0212999995239079
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.01649999963119626
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.055799998752772806
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.031999999284744264
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.12429999722167849
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.1525999965891242
10,200_16_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.28569999361410736
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.05179999884217978
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.10149999773129821
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.20749999536201358
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.14009999686852098
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.38779999133199455
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.3716999916918576
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,0.412199990786612
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,0.36349999187514187
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.3121999930217862
11,200_20_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.3272999926842749
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.5469999877735973
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.9110999796353281
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,1.0390999767743052
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,0.7930999822728336
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,0.9616999785043299
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,0.7611999829858541
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,1.0099999774247408
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,1.0054999775253237
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,0.929499979224056
12,250_1_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,0.8625999807193875
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.6681999850645661
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,2.062199953906238
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,2.1996999508328736
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,1.6566999629698693
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,2.032299954574555
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,1.7124999617226422
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,1.2758999714814125
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,1.2861999712511898
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,1.2569999719038605
13,250_4_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,1.2249999726191163
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.19429999565705658
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.7462999833188951
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),300,0.772199982739985
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),400,1.6701999626681208
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),500,2.05809995399788
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),600,1.9993999553099275
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),700,1.9432999565638602
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),800,2.363699947167188
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),900,1.7460999609716237
14,250_8_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),1000,1.7212999615259468
15,250_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),100,0.06769999848678708
15,250_12_0.001_0.001_0.15_0.2_(128; 128)_(128; 128),200,0.04979999888688326
