0,simple_[64; 64; 64]_0.994,100,0.73
0,simple_[64; 64; 64]_0.994,200,3.58
0,simple_[64; 64; 64]_0.994,300,7.28
0,simple_[64; 64; 64]_0.994,400,11.47
0,simple_[64; 64; 64]_0.994,500,13.79
0,simple_[64; 64; 64]_0.994,505,14.0
1,simple_[64; 64; 64]_0.995,100,1.21
1,simple_[64; 64; 64]_0.995,200,4.49
1,simple_[64; 64; 64]_0.995,300,7.42
1,simple_[64; 64; 64]_0.995,400,10.37
1,simple_[64; 64; 64]_0.995,500,13.06
1,simple_[64; 64; 64]_0.995,570,14.06
2,simple_[64; 64; 64]_0.996,100,0.34
2,simple_[64; 64; 64]_0.996,200,2.14
2,simple_[64; 64; 64]_0.996,300,4.88
2,simple_[64; 64; 64]_0.996,400,9.54
2,simple_[64; 64; 64]_0.996,500,11.37
2,simple_[64; 64; 64]_0.996,600,13.57
2,simple_[64; 64; 64]_0.996,634,14.02
3,simple_[64; 64; 64]_0.997,100,0.29
3,simple_[64; 64; 64]_0.997,200,2.26
3,simple_[64; 64; 64]_0.997,300,4.88
3,simple_[64; 64; 64]_0.997,400,7.32
3,simple_[64; 64; 64]_0.997,500,10.01
3,simple_[64; 64; 64]_0.997,600,12.11
3,simple_[64; 64; 64]_0.997,700,12.34
3,simple_[64; 64; 64]_0.997,800,13.17
3,simple_[64; 64; 64]_0.997,834,14.02
4,simple_[64; 64]_0.994,100,0.91
4,simple_[64; 64]_0.994,200,3.89
4,simple_[64; 64]_0.994,300,7.65
4,simple_[64; 64]_0.994,400,10.98
4,simple_[64; 64]_0.994,500,13.91
4,simple_[64; 64]_0.994,506,14.01
5,simple_[64; 64]_0.995,100,0.11
5,simple_[64; 64]_0.995,200,1.84
5,simple_[64; 64]_0.995,300,6.02
5,simple_[64; 64]_0.995,400,9.07
5,simple_[64; 64]_0.995,500,12.82
5,simple_[64; 64]_0.995,563,14.03
6,simple_[64; 64]_0.996,100,0.19
6,simple_[64; 64]_0.996,200,2.32
6,simple_[64; 64]_0.996,300,5.43
6,simple_[64; 64]_0.996,400,8.21
6,simple_[64; 64]_0.996,500,10.95
6,simple_[64; 64]_0.996,600,13.1
6,simple_[64; 64]_0.996,700,13.65
6,simple_[64; 64]_0.996,713,14.05
7,simple_[64; 64]_0.997,100,0.2
7,simple_[64; 64]_0.997,200,3.14
7,simple_[64; 64]_0.997,300,5.23
7,simple_[64; 64]_0.997,400,7.1
7,simple_[64; 64]_0.997,500,9.75
7,simple_[64; 64]_0.997,600,11.38
7,simple_[64; 64]_0.997,700,12.55
7,simple_[64; 64]_0.997,800,13.28
7,simple_[64; 64]_0.997,838,14.03
8,simple_[32; 32; 32]_0.994,100,1.31
8,simple_[32; 32; 32]_0.994,200,4.93
8,simple_[32; 32; 32]_0.994,300,8.61
8,simple_[32; 32; 32]_0.994,400,12.27
8,simple_[32; 32; 32]_0.994,496,14.01
9,simple_[32; 32; 32]_0.995,100,0.97
9,simple_[32; 32; 32]_0.995,200,4.92
9,simple_[32; 32; 32]_0.995,300,7.78
9,simple_[32; 32; 32]_0.995,400,11.18
9,simple_[32; 32; 32]_0.995,500,12.45
9,simple_[32; 32; 32]_0.995,600,13.67
9,simple_[32; 32; 32]_0.995,700,13.83
9,simple_[32; 32; 32]_0.995,711,14.04
10,simple_[32; 32; 32]_0.996,100,0.51
10,simple_[32; 32; 32]_0.996,200,3.36
10,simple_[32; 32; 32]_0.996,300,5.97
10,simple_[32; 32; 32]_0.996,400,8.65
10,simple_[32; 32; 32]_0.996,500,11.1
10,simple_[32; 32; 32]_0.996,600,13.84
10,simple_[32; 32; 32]_0.996,609,14.03
11,simple_[32; 32; 32]_0.997,100,0.62
11,simple_[32; 32; 32]_0.997,200,2.38
11,simple_[32; 32; 32]_0.997,300,5.12
11,simple_[32; 32; 32]_0.997,400,7.73
11,simple_[32; 32; 32]_0.997,500,10.49
11,simple_[32; 32; 32]_0.997,600,11.42
11,simple_[32; 32; 32]_0.997,700,13.2
11,simple_[32; 32; 32]_0.997,796,14.01
12,simple_[32; 32]_0.994,100,0.42
12,simple_[32; 32]_0.994,200,4.11
12,simple_[32; 32]_0.994,300,7.45
12,simple_[32; 32]_0.994,400,11.28
12,simple_[32; 32]_0.994,500,13.72
12,simple_[32; 32]_0.994,508,14.04
13,simple_[32; 32]_0.995,100,0.88
13,simple_[32; 32]_0.995,200,5.04
13,simple_[32; 32]_0.995,300,7.32
13,simple_[32; 32]_0.995,400,10.4
13,simple_[32; 32]_0.995,500,12.59
13,simple_[32; 32]_0.995,600,13.28
13,simple_[32; 32]_0.995,633,14.0
14,simple_[32; 32]_0.996,100,0.58
14,simple_[32; 32]_0.996,200,2.83
14,simple_[32; 32]_0.996,300,6.31
14,simple_[32; 32]_0.996,400,9.12
14,simple_[32; 32]_0.996,500,10.94
14,simple_[32; 32]_0.996,600,13.59
14,simple_[32; 32]_0.996,664,14.07
15,simple_[32; 32]_0.997,100,0.11
15,simple_[32; 32]_0.997,200,1.88
15,simple_[32; 32]_0.997,300,4.97
15,simple_[32; 32]_0.997,400,7.43
15,simple_[32; 32]_0.997,500,9.05
15,simple_[32; 32]_0.997,600,11.34
15,simple_[32; 32]_0.997,700,12.83
15,simple_[32; 32]_0.997,759,14.02
16,double_[64; 64; 64]_0.994,100,1.22
16,double_[64; 64; 64]_0.994,200,3.05
16,double_[64; 64; 64]_0.994,300,8.23
16,double_[64; 64; 64]_0.994,400,11.82
16,double_[64; 64; 64]_0.994,455,14.02
17,double_[64; 64; 64]_0.995,100,1.05
