0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),100,0.3764999915845692
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),200,0.8285999814793468
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),300,0.6025999865308403
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),400,0.5622999874316156
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),500,0.607999986410141
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),600,0.5784999870695173
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),700,0.5687999872863293
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),800,0.5972999866493046
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),900,0.5432999878562987
0,50_1_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),1000,0.573499987181276
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),100,0.6784999848343432
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),200,0.9431999789178371
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),300,1.0862999757193028
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),400,1.0171999772638083
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),500,0.7510999832116068
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),600,0.29329999344423413
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),700,0.33599999248981477
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),800,0.5308999881334603
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),900,0.49639998890459536
1,50_4_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),1000,0.21519999518990518
2,50_8_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),100,0.27509999385103584
2,50_8_0.0001_0.001_0.15_0.2_(400; 300)_(400; 300),200,0.21159999527037143
